"newspaper_date","date","description","asset","registered","coupons_on","interest_suspended","issuer","price_low","price_high","original_text","url","comment","past_due","gold_rate","price_gold_low","price_gold_high","series","interest","current_yield_gold","current_yield_currency"
1860-11-01,1860-11-01,"Petersburg City Bonds","petersburg",0,0,0,"Petersburg",90,90,"Petersburg City Bonds, last sales $90--no recent sales.","http://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A2006.05.0002%3Aarticle%3Dpos%3D89","",0,1,90,90,"petersburg",6,0.0666666666666667,0.0666666666666667
1860-11-01,1860-11-01,"Richmond City Bonds","richmond",0,0,0,"Richmond",90,90,"Richmond City Bonds, sales $90 and int.","http://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A2006.05.0002%3Aarticle%3Dpos%3D89","",0,1,90,90,"richmond",6,0.0666666666666667,0.0666666666666667
1860-11-01,1860-11-01,"Virginia 6 per cent registered","virginia",1,0,0,"Virginia",89,89,"Virginia 6 per cent. Registered Bonds, sales $89.","http://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A2006.05.0002%3Aarticle%3Dpos%3D89","",0,1,89,89,"virginia_reg",6,0.0674157303370786,0.0674157303370786
1860-11-08,1860-11-08,"Petersburg City Bonds","petersburg",0,0,0,"Petersburg",90,90,"Petersburg City Bonds, last sales $90-no recent sales.","http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0006:article=pos=63&highlight=money+matters%2C","",0,1,90,90,"petersburg",6,0.0666666666666667,0.0666666666666667
1860-11-08,1860-11-08,"Richmond City Bonds","richmond",0,0,0,"Richmond",90,90,"Richmond City Bonds. Sales $90 and int.","http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0006:article=pos=63&highlight=money+matters%2C","",0,1,90,90,"richmond",6,0.0666666666666667,0.0666666666666667
1860-11-08,1860-11-08,"Virginia 6 per cent registered","virginia",1,0,0,"Virginia",88,90,"Virginia 6 per cent. Registered Bonds, last sale $8. held at $10.","http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0006:article=pos=63&highlight=money+matters%2C","",0,1,88,90,"virginia_reg",6,0.0674157303370786,0.0674157303370786
1860-11-15,1860-11-15,"Petersburg City Bonds","petersburg",0,0,0,"Petersburg",90,90,"Petersburg City Bonds, last sales $90--no — recent sales.","http://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A2006.05.0010%3Aarticle%3Dpos%3D73","",0,1,90,90,"petersburg",6,0.0666666666666667,0.0666666666666667
1860-11-15,1860-11-15,"Richmond City Bonds","richmond",0,0,0,"Richmond",90,90,"Richmond City Bonds, sales $90, flat.","http://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A2006.05.0010%3Aarticle%3Dpos%3D73","",0,1,90,90,"richmond",6,0.0666666666666667,0.0666666666666667
1860-11-15,1860-11-15,"Virginia 6 per cent registered","virginia",1,0,0,"Virginia",88,88,"Virginia 6 per cent. Registered Bonds, sales $88.","http://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A2006.05.0010%3Aarticle%3Dpos%3D73","",0,1,88,88,"virginia_reg",6,0.0681818181818182,0.0681818181818182
1860-11-29,1860-11-29,"Richmond City Bonds","richmond",0,0,0,"Richmond",87,87,"Richmond City Bonds, sales $87.","http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0020:article=pos=86","",0,1,87,87,"richmond",6,0.0689655172413793,0.0689655172413793
