"series","date","price","price_clean","gold_rate","accrued_interest","current_yield1","current_yield2","ytm1","duration1","convexity1","maturity1","ytm2","duration2","convexity2","maturity2","ytm3","duration3","convexity3","maturity3","ytm4","duration4","convexity4","maturity4"
"California 7 per cents, 1870","1855-04-13",93,91.0276243093923,1,1.97237569060773,0.0768997329448895,0.0768997329448895,0.0786728106904917,9.12051352191716,113.677964237625,15.227397260274,0.0786728106904917,9.12051352191716,113.677964237625,15.227397260274,0.0786728106904917,9.12051352191716,113.677964237625,15.227397260274,0.0786728106904917,9.12051352191716,113.677964237625,15.227397260274
"California 7 per cents, 1870","1855-04-20",90.5,88.3922651933702,1,2.10773480662983,0.0791924495280955,0.0791924495280955,0.0818496037956827,9.00430735766313,111.663121040617,15.2082191780822,0.0818496037956827,9.00430735766313,111.663121040617,15.2082191780822,0.0818496037956827,9.00430735766313,111.663121040617,15.2082191780822,0.0818496037956827,9.00430735766313,111.663121040617,15.2082191780822
"California 7 per cents, 1870","1855-07-13",86,85.7717391304348,1,0.228260869565217,0.081611962995818,0.081611962995818,0.0852708824685108,9.02452358261137,110.144568636531,14.9780821917808,0.0852708824685108,9.02452358261137,110.144568636531,14.9780821917808,0.0852708824685108,9.02452358261137,110.144568636531,14.9780821917808,0.0852708824685108,9.02452358261137,110.144568636531,14.9780821917808
"California 7 per cents, 1870","1855-07-20",85.75,85.3885869565217,1,0.361413043478261,0.0819781688572065,0.0819781688572065,0.0857761798339245,8.99083729349923,109.550734920653,14.958904109589,0.0857761798339245,8.99083729349923,109.550734920653,14.958904109589,0.0857761798339245,8.99083729349923,109.550734920653,14.958904109589,0.0857761798339245,8.99083729349923,109.550734920653,14.958904109589
"California 7 per cents, 1870","1855-07-27",87,86.5054347826087,1,0.494565217391304,0.0809197713136898,0.0809197713136898,0.0843496993067104,9.01259567646238,109.904844199388,14.9397260273973,0.0843496993067104,9.01259567646238,109.904844199388,14.9397260273973,0.0843496993067104,9.01259567646238,109.904844199388,14.9397260273973,0.0843496993067104,9.01259567646238,109.904844199388,14.9397260273973
"California 7 per cents, 1870","1855-08-03",86.75,86.1222826086957,1,0.627717391304348,0.0812797778689301,0.0812797778689301,0.0848499664646727,8.97906610556214,109.3150859049,14.9205479452055,0.0848499664646727,8.97906610556214,109.3150859049,14.9205479452055,0.0848499664646727,8.97906610556214,109.3150859049,14.9205479452055,0.0848499664646727,8.97906610556214,109.3150859049,14.9205479452055
"California 7 per cents, 1870","1855-08-10",86.875,86.1141304347826,1,0.760869565217391,0.0812874723887662,0.0812874723887662,0.084870889964866,8.95928682709468,108.960840860303,14.9013698630137,0.084870889964866,8.95928682709468,108.960840860303,14.9013698630137,0.084870889964866,8.95928682709468,108.960840860303,14.9013698630137,0.084870889964866,8.95928682709468,108.960840860303,14.9013698630137
"California 7 per cents, 1870","1855-08-17",87.3125,86.4184782608696,1,0.894021739130435,0.0810015762074329,0.0810015762074329,0.0844916510745527,8.95098675863789,108.802014416273,14.8821917808219,0.0844916510745527,8.95098675863789,108.802014416273,14.8821917808219,0.0844916510745527,8.95098675863789,108.802014416273,14.8821917808219,0.0844916510745527,8.95098675863789,108.802014416273,14.8821917808219
"California 7 per cents, 1870","1855-08-24",87,85.9728260869565,1,1.02717391304348,0.0814210759213604,0.0814210759213604,0.0850747130308772,8.91508024779752,108.176085100438,14.8630136986301,0.0850747130308772,8.91508024779752,108.176085100438,14.8630136986301,0.0850747130308772,8.91508024779752,108.176085100438,14.8630136986301,0.0850747130308772,8.91508024779752,108.176085100438,14.8630136986301
"California 7 per cents, 1870","1855-08-31",87,85.8396739130435,1,1.16032608695652,0.081547374085916,0.081547374085916,0.0852581850527787,8.89063565103024,107.745650693974,14.8438356164384,0.0852581850527787,8.89063565103024,107.745650693974,14.8438356164384,0.0852581850527787,8.89063565103024,107.745650693974,14.8438356164384,0.0852581850527787,8.89063565103024,107.745650693974,14.8438356164384
"California 7 per cents, 1870","1855-09-07",88,86.7065217391304,1,1.29347826086957,0.0807321048013037,0.0807321048013037,0.0841561984036281,8.90307125741412,107.937369779964,14.8246575342466,0.0841561984036281,8.90307125741412,107.937369779964,14.8246575342466,0.0841561984036281,8.90307125741412,107.937369779964,14.8246575342466,0.0841561984036281,8.90307125741412,107.937369779964,14.8246575342466
"California 7 per cents, 1870","1855-09-14",87.5,86.0733695652174,1,1.42663043478261,0.0813259668508287,0.0813259668508287,0.0849803720621259,8.86025126144261,107.199002430673,14.8054794520548,0.0849803720621259,8.86025126144261,107.199002430673,14.8054794520548,0.0849803720621259,8.86025126144261,107.199002430673,14.8054794520548,0.0849803720621259,8.86025126144261,107.199002430673,14.8054794520548
"California 7 per cents, 1870","1855-09-21",87,85.4402173913043,1,1.55978260869565,0.0819286304942434,0.0819286304942434,0.0858140444723795,8.81714056065083,106.458552790106,14.786301369863,0.0858140444723795,8.81714056065083,106.458552790106,14.786301369863,0.0858140444723795,8.81714056065083,106.458552790106,14.786301369863,0.0858140444723795,8.81714056065083,106.458552790106,14.786301369863
