"date","high","low","mean"
"1862-01-01",99.5,98.52,99.008787488788
"1862-01-02",99.01,98.77,98.8899271918025
"1862-01-03",99.01,98.77,98.8899271918025
"1862-01-04",98.28,98.04,98.1599266503393
"1862-01-05",98.03970624191,97.7997055210291,97.9196323513675
"1862-01-06",97.8,97.56,97.6799262898985
"1862-01-07",97.32,97.09,97.2049319736401
"1862-01-08",96.62,96.62,96.62
"1862-01-09",95.92,95.92,95.92
"1862-01-10",95.69,95.24,95.4647348501005
"1862-01-11",96.62,96.15,96.3847135182753
"1862-01-12",96.8547149084648,96.6188568551709,96.7367139998529
"1862-01-13",97.09,97.09,97.09
"1862-01-14",97.32,96.85,97.0847155838652
"1862-01-15",97.56,97.32,97.4399261083464
"1862-01-16",97.8,97.56,97.6799262898985
"1862-01-17",98.16,98.04,98.0999816513744
"1862-01-18",98.28,98.04,98.1599266503393
"1862-01-19",98.03970624191,97.7997055210291,97.9196323513676
"1862-01-20",97.8,97.56,97.6799262898985
"1862-01-21",97.8,97.56,97.6799262898985
"1862-01-22",97.44,97.21,97.3249320575155
"1862-01-23",96.74,96.39,96.5648414279235
"1862-01-24",96.74,96.62,96.6799813818765
"1862-01-25",97.09,96.85,96.9699257502036
"1862-01-26",97.09,96.85,96.9699257502036
"1862-01-27",97.09,96.85,96.9699257502036
"1862-01-28",96.74,96.74,96.74
"1862-01-29",96.85,96.74,96.7949843741916
"1862-01-30",96.85,96.62,96.7349316431247
"1862-01-31",96.62,96.5,96.5599813587388
"1862-02-01",96.62,96.62,96.62
"1862-02-02",96.6799813818765,96.62,96.6499860378516
"1862-02-03",96.74,96.62,96.6799813818765
"1862-02-04",96.62,96.5,96.5599813587388
"1862-02-05",96.74,96.62,96.6799813818765
"1862-02-06",96.74,96.62,96.6799813818765
"1862-02-07",96.74,96.5,96.6199254812381
"1862-02-08",96.62,96.5,96.5599813587388
"1862-02-09",96.5599813587388,96.3849313949022,96.4724166731355
"1862-02-10",96.5,96.27,96.3849313949022
"1862-02-11",96.27,96.15,96.2099812909242
"1862-02-12",96.15,96.04,96.094984260366
"1862-02-13",95.92,95.81,95.8649842226034
"1862-02-14",95.81,95.58,95.6949309002311
"1862-02-15",95.58,95.47,95.5249841664473
"1862-02-16",95.9841455658173,95.8691655330325,95.9266383221889
"1862-02-17",96.39,96.27,96.3299813142305
"1862-02-18",96.74,96.39,96.5648414279235
"1862-02-19",97.09,96.85,96.9699257502036
"1862-02-20",96.85,96.74,96.7949843741916
"1862-02-21",96.97,96.97,96.97
"1862-02-22",97.09,97.09,97.09
"1862-02-23",97.09,96.9699257502036,97.0299443011655
"1862-02-24",97.09,96.85,96.9699257502036
"1862-02-25",97.09,96.97,97.0299814490347
"1862-02-26",97.21,96.97,97.089925841974
"1862-02-27",97.92,97.8,97.8599816063747
"1862-02-28",97.92,97.8,97.8599816063747
"1862-03-01",97.68,97.56,97.6199815611537
"1862-03-02",97.8598344572481,97.6199815611537,97.7398344345545
"1862-03-03",98.04,97.68,97.8598344572481
"1862-03-04",98.16,98.04,98.0999816513744
"1862-03-05",98.04,98.04,98.04
"1862-03-06",98.04,97.92,97.9799816289021
"1862-03-07",98.04,97.92,97.9799816289021
"1862-03-08",98.28,98.16,98.2199816737918
"1862-03-09",98.1599266503394,98.0999816513744,98.1299495735046
"1862-03-10",98.04,98.04,98.04
"1862-03-11",98.4,98.28,98.3399816961544
"1862-03-12",98.4,98.4,98.4
"1862-03-13",98.52,98.52,98.52
"1862-03-14",98.52,98.4,98.4599817184626
"1862-03-15",98.52,98.52,98.52
"1862-03-16",98.52,98.4599817184626,98.4899862874543
"1862-03-17",98.52,98.4,98.4599817184626
"1862-03-18",98.64,98.52,98.5799817407165
"1862-03-19",98.52,98.4,98.4599817184626
"1862-03-20",98.77,98.64,98.7049785978397
"1862-03-21",98.77,98.52,98.6449208018335
"1862-03-22",98.77,98.64,98.7049785978397
"1862-03-23",98.77,98.64,98.7049785978397
"1862-03-24",98.77,98.64,98.7049785978397
"1862-03-25",98.89,98.77,98.8299817869052
"1862-03-26",98.77,98.64,98.7049785978397
"1862-03-27",98.77,98.28,98.5246953814119
"1862-03-28",98.77,98.64,98.7049785978397
"1862-03-29",98.52,98.52,98.52
"1862-03-30",98.5799817407165,98.3999268292411,98.4899131389323
"1862-03-31",98.64,98.28,98.4598354660417
"1862-04-01",98.16,98.04,98.0999816513744
"1862-04-02",98.04,97.92,97.9799816289021
"1862-04-03",98.28,98.16,98.2199816737918
"1862-04-04",98.28,98.16,98.2199816737918
"1862-04-05",98.16,98.04,98.0999816513744
